BearCode,Date,tbl_Bears_Sex,Born,AQual,VisitAge,NumCubs,ABearCodeListX
X03022,1983-10-14,F,1972,DERIVE,11,1,X09309 (COY   M)
X03022,1983-11-23,F,1972,DERIVE,11,1,X09309 (COY   M)
X03022,1983-03-18,F,1972,TOOTH,11,2,"X09308 (COY   M), X09309 (COY   M)"
X03022,1983-08-10,F,1972,TOOTH,11,1,X09309 (COY   M)
X03022,1983-08-23,F,1972,DERIVE,11,1,X09309 (COY   M)
X03025,1974-11-04,M,1968,TOOTH,6,0,
X03025,1984-10-15,M,1968,DERIVE,16,0,
X03025,1984-10-20,M,1968,DERIVE,16,0,
X03025,1984-07-28,M,1968,TOOTH,16,0,
X03025,1984-08-11,M,1968,DERIVE,16,0,
X03025,1984-08-13,M,1968,DERIVE,16,0,
X03025,1984-08-25,M,1968,DERIVE,16,0,
X03025,1984-09-12,M,1968,DERIVE,16,0,
X03025,1986-10-24,M,1968,DERIVE,18,0,
X03025,1986-10-30,M,1968,DERIVE,18,0,
X03025,1986-10-31,M,1968,DERIVE,18,0,
X03025,1988-08-29,M,1968,DERIVE,20,0,
X03035,1974-11-14,M,1971,TOOTH,3,0,
X03035,1989-09-09,M,1971,DERIVE,18,0,
X03035,1993-08-29,M,1971,TOOTH,22,0,
X03035,1994-11-11,M,1971,DERIVE,23,0,
X03037,1974-11-17,F,1973,DERIVE,1,0,
X03037,1974-11-22,F,1973,DERIVE,1,0,
X03037,1987-09-02,F,1973,TOOTH,14,0,
X03037,1989-09-09,F,1973,TOOTH,16,1,X11066 (YRLG   F)
X03037,1991-09-07,F,1973,DERIVE,18,0,
X03041,1974-11-24,M,1972,TOOTH,2,0,
X03041,1975-11-12,M,1972,DERIVE,3,0,
X03041,1977-11-08,M,1972,DERIVE,5,0,
X03041,1983-11-28,M,1972,TOOTH,11,0,
X03041,1987-09-24,M,1972,DERIVE,15,0,
X03267,1975-11-13,F,1962,TOOTH,13,1,X03268 (COY   M)
X03267,1988-09-12,F,1962,DERIVE,26,1,X10923 (YRLG   M)
X03267,1992-09-09,F,1962,DERIVE,30,0,
X03269,1975-11-13,F,1968,TOOTH,7,0,
X03269,1983-10-18,F,1968,TOOTH,15,0,
X03269,1983-10-31,F,1968,DERIVE,15,0,
X03269,1983-11-02,F,1968,DERIVE,15,0,
X03269,1984-10-15,F,1968,DERIVE,16,2,"S00057 (COY   U), S00058 (COY   U)"
X03269,1984-02-29,F,1968,DERIVE,16,0,
X03269,1984-03-07,F,1968,DERIVE,16,2,"S00057 (COY   U), S00058 (COY   U)"
X03269,1984-07-29,F,1968,DERIVE,16,0,
X03269,1984-08-25,F,1968,DERIVE,16,2,"S00057 (COY   U), S00058 (COY   U)"
X03269,1984-09-28,F,1968,DERIVE,16,0,
X03269,1987-09-02,F,1968,DERIVE,19,1,X10505 (COY   M)
